id,fecha_de_pago,tipo,descontar_nuevos,page
4992,2022-03-03 07:48:00,MECANICA,No,suscripcion
4993,2022-03-03 07:48:00,MECANICA,Yes,suscripcion
4994,2022-03-03 07:48:00,MECANICA,No,suscripcion
4995,2022-03-03 07:48:00,MECANICA,No,suscripcion
4996,2022-03-03 07:48:00,MECANICA,No,suscripcion
4997,2022-03-03 07:48:00,MECANICA,No,suscripcion
4998,2022-03-03 07:48:00,MECANICA,Yes,suscripcion
4999,2022-03-03 07:48:00,MECANICA,No,suscripcion
5000,2022-03-03 07:48:00,MECANICA,No,suscripcion
5001,2022-03-03 07:48:00,MECANICA,No,suscripcion
5002,2022-03-03 07:48:00,MECANICA,No,suscripcion
5003,2022-03-03 07:48:00,MECANICA,No,suscripcion
5004,2022-03-03 07:48:00,MECANICA,No,suscripcion
5006,2022-03-03 07:48:00,MECANICA,No,suscripcion
5007,2022-03-03 07:48:00,MECANICA,No,suscripcion
5008,2022-03-03 07:48:00,MECANICA,No,suscripcion
5009,2022-03-03 07:48:00,MECANICA,No,suscripcion
5011,2022-03-03 07:48:00,MECANICA,No,suscripcion
5012,2022-03-03 07:48:00,MECANICA,No,suscripcion
5013,2022-03-03 07:48:00,MECANICA,No,suscripcion
5014,2022-03-03 07:48:00,MECANICA,No,suscripcion
5015,2022-03-03 07:48:00,MECANICA,No,suscripcion
5016,2022-03-03 07:48:00,MECANICA,No,renting
5017,2022-03-03 07:48:00,MECANICA,No,suscripcion
5018,2022-03-03 07:48:00,MECANICA,No,suscripcion
5019,2022-03-03 07:48:00,ELECTRICA,No,suscripcion
5020,2022-03-03 07:48:00,MECANICA,No,suscripcion
5021,2022-03-03 07:48:00,MECANICA,No,suscripcion
5022,2022-03-03 07:48:00,MECANICA,No,suscripcion
5023,2022-03-03 07:48:00,MECANICA,No,suscripcion
5024,2022-03-03 07:48:00,MECANICA,No,suscripcion
5025,2022-03-03 07:48:00,MECANICA,No,suscripcion
5026,2022-03-03 07:48:00,MECANICA,No,suscripcion
5027,2022-03-03 07:48:00,ELECTRICA,No,suscripcion
